,date,headline,keyword
97,2006.12.11. 오후 6:27,분양가 개선 조기 결론내릴것,[]
98,2006.12.11. 오후 6:27,대출수요 안꺾이자 자발적 규제 초강수,"['대출', '대출수요', '수요', '안', '자발적', '규제', '강수']"
99,2006.12.11. 오후 6:27,靑정책실장 “종부세·양도세 완화 검토안해”,"['정책', '정책실장', '실장', '종', '종부세', '부세', '양도', '양도세', '세', '완화', '검토', '검토안해', '안해']"
100,2006.12.11. 오후 6:27,아파트값 수도권 매매·지방은 전세가 상승 주도,"['아파트', '아파트값', '값', '수도권', '매매', '지방', '전세', '상승', '주도']"
101,2006.12.11. 오후 5:53,인천 지하철 2호선 2008년 착공,"['인천', '지하철', '2', '2호선', '호', '선', '2008', '2008년', '년', '착공']"
102,2006.12.11. 오후 5:52,서울 재건축 일반분양 내년 200가구 뿐,"['서울', '건축', '일반', '일반분양', '분양', '내년', '200', '200가구', '가구']"
103,2006.12.11. 오후 5:51,주공 남양주 가운지구 국민임대 1805가구 공급,"['주공', '남양주', '가운', '가운지구', '지구', '국민', '국민임대', '임대', '1805', '1805가구', '가구', '공급']"
104,2006.12.11. 오후 5:51,고양시 풍동 근린상가 풍산산업다인타운 공급,"['고양', '고양시', '시', '풍동', '근린', '근린상가', '상가', '풍산', '풍산산업다인타운', '산업', '다인', '타운', '공급']"
105,2006.12.11. 오후 5:51,남산트라팰리스 분양,"['남산', '남산트라팰리스', '트라', '팰리스', '분양']"
106,2006.12.11. 오후 5:50,틈새로 본 부동산 연말 분양잔치 서울시민 왕따,"['틈새', '부동산', '연말', '분양', '분양잔치', '잔치', '서울', '서울시민', '시민', '왕따']"
107,2006.12.11. 오후 5:49,SH공사 임대아파트 914가구 1월 공급,"['공사', '임대', '임대아파트', '아파트', '914', '914가구', '가구', '1', '1월', '월', '공급']"
108,2006.12.11. 오후 5:49,전국 아파트가격 총액 올들어 308조원 늘어,"['전국', '아파트', '아파트가격', '가격', '총액', '올', '308', '308조원', '조', '원']"
109,2006.12.11. 오후 5:48,광화문빌딩，재산세 두곳서 징수,"['광화문', '광화문빌딩', '빌딩', '재산세', '곳', '징수']"
110,2006.12.11. 오후 5:48,도공，톨게이트에 자선냄비 모금,"['도공', '톨게이트', '자선', '자선냄비', '냄비', '모금']"
111,2006.12.11. 오후 5:48,대림산업 용인시 마북에 e편한세상 404가구 분양,"['대림', '대림산업', '산업', '용인', '용인시', '시', '마', '마북', '북', '세상', '404', '404가구', '가구', '분양']"
112,2006.12.11. 오후 5:48,영종·김포 토지보상 연내 착수,"['영종', '김', '김포', '포', '토지', '토지보상', '보상', '연내', '착수']"
