,total,하락세,하락,급락,내림세,하락…,하락...,하락..
737,7.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0
738,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0
739,19.0,2.0,14.0,0.0,0.0,2.0,1.0,0.0
740,26.0,4.0,15.0,2.0,0.0,5.0,0.0,0.0
741,71.0,8.0,59.0,0.0,0.0,4.0,0.0,0.0
742,30.0,9.0,18.0,0.0,1.0,2.0,0.0,0.0
743,78.0,22.0,44.0,5.0,1.0,5.0,1.0,0.0
744,40.0,4.0,26.0,4.0,0.0,6.0,0.0,0.0
745,33.0,11.0,16.0,1.0,1.0,3.0,1.0,0.0
746,36.0,6.0,19.0,2.0,3.0,6.0,0.0,0.0
747,57.0,3.0,42.0,3.0,0.0,7.0,2.0,0.0
748,19.0,3.0,8.0,1.0,1.0,5.0,1.0,0.0
749,36.0,7.0,24.0,0.0,2.0,3.0,0.0,0.0
750,23.0,5.0,11.0,2.0,0.0,5.0,0.0,0.0
751,24.0,1.0,18.0,0.0,1.0,3.0,1.0,0.0
752,37.0,13.0,20.0,0.0,0.0,4.0,0.0,0.0
753,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
754,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
755,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
756,10.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0
757,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
758,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
759,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
760,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
761,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
762,6.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0
763,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
764,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
765,6.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0
766,25.0,2.0,20.0,2.0,0.0,1.0,0.0,0.0
767,6.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0
768,6.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
