,total,상승세,상승,올라,급등,상승…,오름세,상승..,상승...
697,21.0,0.0,9.0,10.0,1.0,1.0,0.0,0.0,0.0
698,16.0,2.0,6.0,3.0,2.0,1.0,1.0,0.0,1.0
699,48.0,2.0,25.0,7.0,4.0,10.0,0.0,0.0,0.0
700,15.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0
701,56.0,2.0,47.0,0.0,1.0,4.0,1.0,0.0,1.0
702,33.0,0.0,22.0,5.0,0.0,3.0,3.0,0.0,0.0
703,30.0,3.0,20.0,3.0,0.0,3.0,1.0,0.0,0.0
704,63.0,4.0,42.0,7.0,2.0,7.0,0.0,0.0,1.0
705,43.0,3.0,24.0,1.0,4.0,5.0,4.0,1.0,1.0
706,23.0,3.0,11.0,3.0,5.0,1.0,0.0,0.0,0.0
707,57.0,7.0,29.0,7.0,4.0,6.0,1.0,0.0,3.0
708,39.0,6.0,20.0,2.0,4.0,4.0,3.0,0.0,0.0
709,22.0,3.0,12.0,2.0,1.0,4.0,0.0,0.0,0.0
710,33.0,11.0,13.0,0.0,4.0,0.0,5.0,0.0,0.0
711,40.0,14.0,16.0,6.0,1.0,1.0,2.0,0.0,0.0
712,29.0,3.0,14.0,4.0,3.0,4.0,0.0,1.0,0.0
713,36.0,7.0,22.0,4.0,0.0,2.0,1.0,0.0,0.0
714,31.0,8.0,16.0,1.0,2.0,2.0,2.0,0.0,0.0
715,70.0,12.0,26.0,14.0,7.0,8.0,3.0,0.0,0.0
716,41.0,4.0,24.0,6.0,3.0,4.0,0.0,0.0,0.0
717,52.0,6.0,27.0,5.0,4.0,6.0,4.0,0.0,0.0
718,43.0,8.0,16.0,6.0,7.0,5.0,1.0,0.0,0.0
719,37.0,6.0,18.0,5.0,2.0,5.0,1.0,0.0,0.0
720,46.0,6.0,21.0,10.0,3.0,3.0,2.0,0.0,1.0
721,32.0,8.0,16.0,3.0,3.0,1.0,1.0,0.0,0.0
722,48.0,14.0,25.0,1.0,1.0,2.0,2.0,0.0,3.0
723,46.0,7.0,28.0,3.0,2.0,5.0,1.0,0.0,0.0
724,46.0,5.0,25.0,10.0,1.0,3.0,2.0,0.0,0.0
725,48.0,5.0,31.0,4.0,3.0,0.0,5.0,0.0,0.0
726,61.0,2.0,39.0,8.0,7.0,4.0,1.0,0.0,0.0
727,78.0,10.0,36.0,13.0,6.0,8.0,5.0,0.0,0.0
728,40.0,4.0,23.0,5.0,5.0,2.0,1.0,0.0,0.0
729,57.0,20.0,23.0,3.0,4.0,4.0,2.0,1.0,0.0
730,40.0,7.0,20.0,5.0,3.0,3.0,1.0,1.0,0.0
731,31.0,6.0,16.0,2.0,4.0,1.0,1.0,0.0,1.0
732,38.0,7.0,15.0,11.0,1.0,1.0,3.0,0.0,0.0
733,38.0,6.0,16.0,9.0,2.0,4.0,1.0,0.0,0.0
734,45.0,10.0,11.0,11.0,6.0,5.0,1.0,0.0,1.0
735,20.0,5.0,7.0,2.0,2.0,0.0,4.0,0.0,0.0
736,66.0,4.0,22.0,16.0,7.0,10.0,3.0,0.0,4.0
737,38.0,5.0,14.0,6.0,11.0,1.0,1.0,0.0,0.0
