,total,약세,안정세,보합세,보합
302,1.0,0.0,1.0,0.0,0.0
303,6.0,0.0,6.0,0.0,0.0
304,3.0,1.0,2.0,0.0,0.0
305,2.0,2.0,0.0,0.0,0.0
306,2.0,1.0,1.0,0.0,0.0
307,2.0,1.0,0.0,0.0,1.0
308,5.0,5.0,0.0,0.0,0.0
309,4.0,3.0,0.0,1.0,0.0
310,3.0,2.0,0.0,0.0,1.0
311,4.0,3.0,0.0,1.0,0.0
312,4.0,3.0,1.0,0.0,0.0
313,6.0,4.0,2.0,0.0,0.0
314,3.0,3.0,0.0,0.0,0.0
315,1.0,1.0,0.0,0.0,0.0
316,2.0,0.0,1.0,1.0,0.0
317,2.0,1.0,1.0,0.0,0.0
318,1.0,0.0,0.0,0.0,1.0
319,2.0,2.0,0.0,0.0,0.0
320,3.0,1.0,0.0,2.0,0.0
321,2.0,0.0,0.0,2.0,0.0
322,3.0,1.0,1.0,1.0,0.0
323,8.0,7.0,1.0,0.0,0.0
324,5.0,5.0,0.0,0.0,0.0
325,1.0,1.0,0.0,0.0,0.0
326,1.0,0.0,0.0,0.0,1.0
327,2.0,2.0,0.0,0.0,0.0
328,2.0,1.0,1.0,0.0,0.0
329,2.0,1.0,0.0,0.0,1.0
330,1.0,1.0,0.0,0.0,0.0
331,0.0,0.0,0.0,0.0,0.0
332,1.0,1.0,0.0,0.0,0.0
333,1.0,1.0,0.0,0.0,0.0
334,2.0,1.0,0.0,1.0,0.0
335,1.0,0.0,0.0,1.0,0.0
336,3.0,1.0,1.0,1.0,0.0
337,2.0,1.0,0.0,0.0,1.0
338,7.0,0.0,3.0,1.0,3.0
339,2.0,1.0,0.0,0.0,1.0
340,1.0,0.0,0.0,1.0,0.0
341,3.0,0.0,0.0,1.0,2.0
342,1.0,0.0,1.0,0.0,0.0
343,1.0,0.0,0.0,1.0,0.0
344,1.0,1.0,0.0,0.0,0.0
345,1.0,0.0,0.0,1.0,0.0
346,1.0,0.0,1.0,0.0,0.0
347,0.0,0.0,0.0,0.0,0.0
348,0.0,0.0,0.0,0.0,0.0
349,2.0,1.0,0.0,1.0,0.0
350,0.0,0.0,0.0,0.0,0.0
351,0.0,0.0,0.0,0.0,0.0
352,0.0,0.0,0.0,0.0,0.0
353,2.0,0.0,2.0,0.0,0.0
354,1.0,0.0,0.0,1.0,0.0
355,2.0,0.0,1.0,0.0,1.0
356,1.0,0.0,0.0,1.0,0.0
357,1.0,0.0,0.0,0.0,1.0
358,0.0,0.0,0.0,0.0,0.0
359,2.0,1.0,1.0,0.0,0.0
360,1.0,0.0,0.0,0.0,1.0
361,7.0,3.0,2.0,0.0,2.0
362,3.0,1.0,1.0,0.0,1.0
363,4.0,2.0,0.0,1.0,1.0
364,2.0,0.0,1.0,1.0,0.0
365,3.0,0.0,1.0,0.0,2.0
366,4.0,2.0,0.0,1.0,1.0
367,3.0,2.0,0.0,1.0,0.0
368,1.0,0.0,1.0,0.0,0.0
369,0.0,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0,0.0
371,4.0,2.0,0.0,1.0,1.0
372,3.0,1.0,0.0,1.0,1.0
373,0.0,0.0,0.0,0.0,0.0
374,11.0,1.0,2.0,6.0,2.0
375,2.0,0.0,0.0,2.0,0.0
376,0.0,0.0,0.0,0.0,0.0
377,2.0,1.0,0.0,0.0,1.0
378,3.0,0.0,1.0,2.0,0.0
379,1.0,1.0,0.0,0.0,0.0
380,2.0,1.0,1.0,0.0,0.0
381,0.0,0.0,0.0,0.0,0.0
382,0.0,0.0,0.0,0.0,0.0
383,0.0,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0,0.0
385,2.0,1.0,1.0,0.0,0.0
386,2.0,2.0,0.0,0.0,0.0
387,1.0,1.0,0.0,0.0,0.0
388,3.0,2.0,0.0,1.0,0.0
389,0.0,0.0,0.0,0.0,0.0
390,0.0,0.0,0.0,0.0,0.0
391,5.0,4.0,0.0,0.0,1.0
392,0.0,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,0.0,0.0
394,4.0,3.0,0.0,1.0,0.0
395,2.0,2.0,0.0,0.0,0.0
396,0.0,0.0,0.0,0.0,0.0
397,1.0,0.0,0.0,1.0,0.0
398,0.0,0.0,0.0,0.0,0.0
399,1.0,0.0,0.0,1.0,0.0
400,0.0,0.0,0.0,0.0,0.0
401,1.0,0.0,0.0,0.0,1.0
402,0.0,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0,0.0
404,0.0,0.0,0.0,0.0,0.0
